id	gender	age	profession	sportiv	smoker	interestd in having a smoke shop	conservative or liberal	RT @ericamtucker: Here is my story... Thx @HIGH_TIMES_Mag!! 💖 @HERBworthy @SnoopDogg @JohnMayer @tommychong #thetuckerfight #legalizeit #ma…	Add your name to tell AG Jeff Sessions we won't let him drag us back to darkest days of the #WarOnDrugs #LegalizeIt https://t.co/Y6tfTzVO2r	Gov. Scott signs medical #marijuana plan #cannabis  https://t.co/Is3DBx8fue #medicalmarijuana #CBD… https://t.co/3GOHye7ABn	@PAHouseGOP Pennsylvania should declare itself independent of federal marijuana law  #legalizeit	Long lines in Nevada as recreational marijuana goes on salehttps://t.co/lDpDctJzqI#StonerMagazine #CNN #LasVegas… https://t.co/HJ9WoxuaR8	Public Consumption Gets Another Go in Alaska https://t.co/Tz3mnlafNv #legalizeit #sativa #cannabis https://t.co/Fkpyna6gdW	RT @RadioRiddler: Working on a special remix! #Reggae #PeterTosh #LegalizeIt	Here Are Five Ways #Marijuana Is Better For You Than Alcohol https://t.co/WDrUbLPvow #legalizeit #dope #mmj https://t.co/pJQ08ESHXN	what the trap going to do when weed becomes legal in every state? it will be a sad story, but shit it was good whil… https://t.co/SOxH8A7noW	#Cannabis around the world!  #legalizeit #marijuana #naturalhealth https://t.co/D8XYeWH03f
153	other	76	employee	true	false	true	true	0	1	0	0	0	1	0	1	0	1	0	1	0	1	0	0	1	0	1	0	1	0	1	0	1	1	0	1	1	0	0	0	0	1	1	1	1	1	1	0	0	0	1	0	1	0	0	0	1	1	1	1	0	0	0	1	0	1	0	0	0	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1	1	1	1	1	1	1	0	1	1	1	0	1	1	1	1	1
154	female	46	unemployed/seeking employment	true	true	false	false	0	0	1	1	1	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	1	0	1	0	1	1	0	0	0	1	0	0	0	1	1	1	1	1	1	1	1	0	1	0	0	0	0	1	0	0	1	1	1	0	0	0	0	1	1	0	0	0	0	1	1	0	0	0	1	1	1	0	1	0	1	1	1	0	0	0	1	1	1	1	1	0	1	1	1	1	1	0	1	0	0	1	1	0	1	0
155	male	67	student (highschool)	false	true	true	true	1	1	1	0	0	0	1	0	1	0	1	0	0	1	0	0	1	1	1	0	0	0	0	0	1	0	0	1	0	1	0	0	1	0	1	0	1	0	0	1	1	1	1	0	0	0	0	0	0	1	0	0	1	1	0	1	1	1	0	0	0	0	0	1	1	0	0	0	1	0	1	1	1	0	0	0	0	1	0	0	1	1	0	1	1	1	0	0	1	1	0	0	1	0	0	0	1	1	1	0
156	female	31	unemployed/seeking employment	false	true	false	true	0	0	0	0	1	1	1	0	0	0	1	1	0	1	1	0	0	1	1	0	1	0	1	1	0	1	0	1	1	0	0	1	0	1	0	1	0	1	1	0	0	0	1	0	1	1	0	0	1	0	1	0	0	1	1	1	0	1	0	0	0	0	0	1	1	1	1	1	1	0	1	1	1	1	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	1	1	1	1
157	other	32	unemployed/seeking employment	true	false	false	false	0	1	1	0	1	0	0	1	1	1	1	1	0	0	1	0	0	1	0	1	1	1	1	1	1	0	0	1	1	1	1	0	0	1	0	0	0	0	0	0	0	1	1	1	1	0	1	0	0	1	0	1	1	1	1	1	0	1	0	1	0	1	0	1	0	0	1	0	1	1	0	0	1	1	0	0	0	1	1	0	1	0	1	1	0	1	1	1	0	1	0	1	1	1	0	1	0	1	0	1
158	male	99	student (highschool)	false	false	false	false	0	1	0	1	1	0	1	0	1	0	1	0	0	1	1	1	0	0	1	1	1	1	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	1	0	1	0	1	0	1	1	1	0	0	0	0	1	1	0	0	1	1	0	0	1	0	1	1	1	0	0	0	1	0	0	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	0	0	1	1	1	0	1	0	0	1	1
159	female	32	unemployed/seeking employment	true	true	false	false	0	1	1	0	1	1	0	0	0	1	0	1	1	1	1	1	0	0	1	1	0	1	0	1	0	1	1	0	1	1	1	1	0	1	1	1	1	1	1	0	0	0	0	0	1	1	1	1	0	1	0	1	1	0	1	1	1	1	0	1	1	0	1	1	1	0	0	1	0	0	0	0	1	1	0	1	1	0	1	1	0	1	0	1	1	1	1	1	0	1	1	0	0	1	1	0	1	1	0	0
160	male	88	student (highschool)	false	false	true	false	0	0	1	1	0	1	1	1	1	0	1	0	1	0	0	0	0	1	0	0	1	1	1	1	0	1	0	1	0	1	0	1	1	1	0	1	0	1	1	1	0	0	1	0	1	0	1	0	0	0	1	0	0	1	1	1	0	1	1	0	0	0	1	0	0	1	0	1	1	0	1	1	0	0	1	0	1	0	0	0	0	1	1	1	0	1	0	1	0	0	0	1	0	1	1	0	0	1	1	0
161	female	16	self-employed	true	true	true	true	1	1	0	1	1	1	0	1	1	0	1	1	0	0	1	1	0	0	1	0	0	1	1	1	1	0	1	0	1	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	1	1	0	1	0	0	1	0	0	1	0	0	0	0	1	0	0	1	1	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	1	1	1
162	female	81	student (university)	false	true	true	true	1	0	0	1	0	0	0	1	0	1	1	1	1	0	1	0	1	0	1	1	1	0	0	1	1	0	0	0	0	1	0	0	1	1	0	0	1	1	1	0	1	1	1	1	0	0	0	0	1	1	1	1	0	0	0	1	0	1	1	1	1	1	0	0	1	0	0	1	0	0	0	1	1	1	1	0	1	1	0	0	1	0	1	0	0	0	0	1	0	0	0	0	1	1	1	1	1	1	1	1
163	other	80	unemployed/seeking employment	false	false	true	false	1	1	1	0	0	0	1	0	0	1	1	0	1	0	1	0	1	0	0	1	0	0	0	1	1	0	0	1	0	1	0	1	1	1	1	1	0	0	1	1	1	0	0	0	0	1	0	0	1	0	0	1	1	0	1	0	0	0	1	1	0	0	0	1	1	1	1	0	0	1	1	1	0	1	0	0	0	1	1	0	1	1	0	1	0	0	1	0	1	1	0	0	1	0	0	0	1	0	1	1
164	other	84	student (university)	true	false	false	false	1	1	0	0	1	1	1	1	1	0	1	0	0	0	1	0	1	1	1	1	1	0	0	0	1	1	1	0	0	0	1	1	0	0	1	0	0	0	1	0	1	1	0	0	0	0	1	0	1	1	0	0	1	1	0	0	1	1	0	1	1	1	1	0	0	0	1	0	1	0	1	1	1	0	1	0	0	0	1	1	1	1	1	1	1	1	0	0	0	1	0	0	0	0	0	1	1	0	0	1
165	other	92	student (university)	false	false	false	false	1	1	1	0	0	0	1	1	1	1	0	0	0	0	0	0	0	1	1	0	1	0	1	1	0	0	0	0	0	1	1	1	0	0	0	0	1	1	0	1	1	1	0	0	0	0	1	1	0	0	0	1	1	1	0	0	1	0	1	0	0	1	0	1	0	0	0	1	0	1	0	1	1	1	0	1	0	1	1	1	0	0	1	1	1	1	1	0	1	0	1	0	0	0	0	1	1	0	0	0
166	male	32	self-employed	false	false	false	false	0	0	1	1	0	0	1	0	0	0	1	0	0	0	1	1	0	0	1	1	0	0	1	0	0	0	1	0	0	1	0	1	0	0	0	1	1	1	1	1	1	1	0	0	1	0	0	1	0	0	1	1	0	1	1	0	1	1	1	0	0	1	0	0	1	0	1	1	1	0	1	1	1	1	0	1	1	0	0	0	1	1	0	1	0	1	0	1	1	0	0	1	1	0	0	1	1	0	1	0
167	other	57	other	false	true	false	false	0	1	0	0	0	1	1	1	0	0	1	1	0	1	0	0	0	0	1	1	1	0	0	1	0	1	1	1	0	0	0	0	1	0	0	1	0	0	1	1	1	0	0	1	1	0	1	0	0	1	0	0	1	1	1	0	1	1	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	1	1	1	1	0	0	1	1	0	0	1	1	0	1	1	1	0	0	1	1	0	0	0	1
168	other	8	unemployed/seeking employment	false	false	true	true	0	0	0	1	1	1	0	1	1	0	1	0	0	0	1	0	0	0	1	0	1	0	1	1	0	0	0	1	1	1	1	1	1	1	0	1	1	1	0	1	1	1	1	0	0	1	1	0	0	1	1	1	1	0	0	0	0	1	0	0	0	1	1	0	1	1	1	1	1	1	0	0	0	1	0	0	0	0	0	1	1	0	1	0	1	1	1	1	0	0	1	1	0	0	0	0	0	1	1	0
169	female	93	student (university)	false	false	false	true	0	1	1	0	1	0	0	0	0	1	0	1	1	0	0	1	1	1	0	1	1	0	1	0	0	1	1	0	1	1	1	1	1	1	1	0	0	0	1	0	0	0	0	1	1	1	1	0	1	0	0	1	1	1	1	1	1	1	1	0	0	0	1	0	0	0	1	1	1	0	0	0	0	1	0	0	1	1	1	1	0	1	1	0	0	1	0	1	0	1	0	1	1	0	1	0	0	0	0	1
170	other	69	student (university)	true	false	true	false	0	1	1	0	1	0	1	1	1	0	1	0	0	0	1	1	1	0	0	1	0	1	1	1	1	0	0	0	0	1	0	1	0	1	1	1	0	0	0	0	1	1	1	0	0	1	0	1	0	1	1	1	1	0	0	0	1	1	1	0	1	1	1	1	0	1	0	1	1	1	0	0	1	0	0	1	0	1	0	0	0	0	1	1	1	1	0	1	1	0	1	1	1	1	1	0	0	1	1	0
171	female	77	other	false	false	false	false	0	1	1	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	1	1	1	0	1	0	1	1	0	1	0	1	1	1	1	0	0	0	1	1	1	1	1	0	1	1	1	0	0	1	0	0	0	0	0	0	0	1	1	1	0	0	1	0	0	1	0	0	0	1	0	0	0	0	1	0	0	1	0	1	1	0	0	0	1	1	1	1	1	0	1	0	1	0	1	0	1	0	0	0	0	0
172	female	10	student (university)	false	false	false	false	1	1	1	1	1	1	0	1	1	1	0	1	0	0	1	0	1	1	0	1	1	0	1	1	1	0	1	0	1	1	1	0	1	0	0	0	0	0	0	1	1	1	0	1	1	1	0	1	1	0	1	0	1	1	0	0	1	0	1	0	1	1	1	1	0	0	1	1	0	1	0	1	1	0	0	1	1	0	1	1	1	0	1	0	1	1	1	0	1	1	1	1	0	0	0	0	1	0	0	1
173	male	45	unemployed/seeking employment	true	true	false	true	0	1	1	0	1	1	0	0	0	0	1	0	1	0	1	1	0	1	0	1	0	0	0	0	1	1	0	1	0	0	1	1	0	1	0	1	1	0	0	1	0	0	0	1	1	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	1	1	1	0	1	0	0	1	1	1	0	0	1	1	0	1	0	0	1	0	1	0	0	1	1	0	0	1	1	1	1	1	1	0	0	0	1	0
174	male	50	employee	true	false	false	false	0	0	1	0	0	0	1	0	1	0	1	0	0	0	1	0	1	0	0	0	0	0	1	0	0	1	1	0	1	0	1	1	0	1	0	1	1	1	1	0	1	1	1	0	0	0	0	1	0	0	1	1	0	0	0	0	0	1	1	1	0	0	0	1	1	1	1	1	1	0	0	1	0	0	0	0	1	1	1	0	0	1	1	0	0	1	1	0	0	1	1	1	0	1	0	0	0	0	1	1
175	male	71	unemployed/seeking employment	false	true	false	false	0	1	1	1	1	1	0	0	0	1	1	1	0	1	0	1	1	1	0	0	1	1	0	1	1	1	1	1	1	0	0	0	1	1	1	0	1	1	1	1	1	0	1	0	0	1	0	1	0	1	0	1	0	0	0	1	1	1	1	0	0	0	1	0	0	0	0	1	0	0	1	0	0	1	0	0	1	0	0	0	1	1	1	1	0	0	0	1	0	0	1	0	1	1	0	1	1	0	1	0
176	male	68	employee	true	true	false	true	1	1	1	1	0	0	0	0	0	0	0	0	0	1	1	0	1	0	1	1	0	0	1	0	1	1	1	1	1	1	0	0	1	0	1	0	0	1	1	0	0	0	0	1	1	1	0	1	1	1	0	0	1	1	0	1	1	0	0	0	1	0	1	1	0	1	0	0	1	0	0	1	1	1	1	1	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	1	0	0	1	0	1	1	0	1
177	other	70	student (highschool)	true	false	false	false	1	1	0	1	1	0	1	0	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	1	1	0	0	0	1	0	1	1	0	0	0	0	1	0	1	0	1	0	1	0	0	0	1	0	0	0	0	1	1	0	0	0	1	1	1	0	1	1	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	1	0	0	1	1	0	1	1	1	1	0
178	female	53	student (highschool)	true	false	false	false	0	0	1	0	1	1	1	1	1	0	0	1	1	1	0	0	1	1	1	1	0	1	0	1	1	0	0	0	1	0	0	1	1	1	1	1	0	1	0	0	0	0	1	1	1	1	0	0	1	0	1	0	0	1	0	1	1	0	1	0	1	1	0	1	0	0	0	1	1	1	0	0	0	0	1	0	1	1	1	0	0	1	0	0	1	1	1	1	0	1	0	0	1	1	0	1	1	0	0	0
179	female	67	student (university)	false	true	false	true	1	0	0	1	1	0	0	1	1	0	0	0	0	1	0	1	0	1	0	1	0	0	1	1	1	0	0	1	1	0	1	1	0	1	1	0	0	1	0	0	0	1	0	1	1	0	0	1	0	1	0	1	1	1	1	0	1	1	0	1	1	0	0	0	1	0	1	0	1	1	1	1	1	1	0	0	1	0	1	1	0	1	0	1	0	0	1	1	0	1	0	1	1	0	0	0	0	0	1	1
180	male	1	employee	true	false	true	true	1	0	0	0	1	0	0	0	0	0	0	0	0	1	1	1	0	0	1	0	0	0	0	0	0	1	1	0	0	0	1	0	0	1	0	1	1	0	0	0	0	1	1	1	0	0	1	0	0	1	0	1	1	0	0	1	1	0	0	0	1	1	0	1	1	1	1	0	1	1	0	1	0	1	0	0	1	1	0	1	1	0	1	1	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0
181	other	79	student (university)	true	true	true	false	0	0	0	1	0	1	1	0	0	0	1	0	1	0	0	1	1	0	0	1	1	0	0	0	1	1	1	1	0	1	0	0	0	1	0	1	1	0	0	1	0	1	1	0	1	1	0	1	0	0	0	1	0	1	1	1	0	1	0	1	1	1	0	1	0	1	0	1	0	0	1	0	1	1	1	0	1	1	0	0	0	0	0	1	0	0	0	1	0	0	1	0	1	0	1	1	1	1	0	0
182	male	21	other	true	true	true	false	1	1	1	0	0	0	0	1	0	1	0	1	1	0	0	1	0	0	1	0	0	0	1	0	0	1	0	1	0	0	1	1	0	0	1	1	1	1	1	0	0	1	0	1	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	1	1	0	1	0	0	0	1	1	1	0	1	0	0	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	0	1	1	1	0	0	0	1
183	other	30	self-employed	false	true	false	true	1	0	1	0	1	1	1	1	1	0	1	0	1	1	0	0	1	1	0	1	1	0	1	1	1	1	0	0	1	0	1	1	0	0	0	1	1	1	0	0	0	1	0	0	1	1	0	1	0	1	1	1	0	1	0	1	1	1	0	0	0	1	1	1	0	1	1	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	1	1	1	1	0	1	1	0	1	1	0	1	1	1	0
184	male	33	self-employed	true	true	true	true	1	1	0	1	1	1	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	1	1	1	0	0	1	0	1	0	1	0	1	1	1	1	0	0	1	0	1	1	1	0	0	0	0	0	1	1	1	0	1	0	1	0	0	1	1	1	1	1	1	1	0	0	0	0	0	0	1	1	1	0	0	1	0	1	0	0	0	0	0	1	1	0	0	1
185	male	32	student (highschool)	false	true	false	true	1	1	1	1	0	1	1	0	0	1	1	1	0	0	1	0	1	0	1	1	0	0	1	0	1	1	1	0	1	1	0	0	0	1	1	0	1	0	1	1	1	0	0	1	0	1	0	0	1	1	0	1	0	1	0	0	1	1	1	1	0	0	0	1	0	0	1	0	1	0	0	0	1	1	0	0	1	0	0	0	0	0	0	1	1	0	1	0	1	1	0	1	0	0	1	1	1	0	1	0
186	other	70	student (university)	false	false	true	false	1	1	0	1	1	1	0	1	0	0	1	1	1	0	0	0	1	1	1	1	1	0	0	1	0	0	0	0	1	1	0	1	1	0	1	0	0	0	1	0	1	1	0	0	0	1	0	0	1	0	1	1	0	0	1	1	0	1	0	1	0	0	1	1	0	1	0	1	0	1	0	1	1	0	1	1	1	1	0	0	1	1	0	1	1	0	1	1	1	1	1	0	1	0	0	1	0	1	0	1
187	male	74	unemployed/seeking employment	true	false	false	false	0	0	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	1	1	0	1	0	1	0	1	0	0	1	0	0	1	0	0	0	0	1	1	0	0	1	1	0	1	1	1	0	1	0	0	1	1	0	1	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1	1	0	0	0	0	1	1	0	0	1	0	0	0	0	0	1
188	male	72	student (highschool)	true	false	false	false	1	1	0	1	0	1	1	1	1	0	0	0	0	1	0	0	1	1	1	1	0	1	0	0	1	1	0	0	1	0	1	0	1	0	0	0	0	0	1	1	1	0	0	1	0	0	0	0	0	1	1	1	1	0	1	0	1	0	0	1	1	0	1	0	0	1	1	1	1	0	0	1	1	1	1	0	0	1	1	0	1	0	1	1	0	1	1	1	1	1	1	1	1	0	1	0	1	0	0	1
189	female	57	self-employed	false	true	true	false	0	0	0	1	1	1	1	0	0	1	0	0	1	1	1	0	1	1	1	0	0	0	1	0	0	0	0	0	0	1	0	1	1	1	1	0	1	0	1	0	1	1	0	1	1	0	1	0	1	0	0	1	0	0	0	0	0	1	0	1	1	1	1	1	0	1	1	0	0	0	0	0	1	0	1	1	0	0	1	0	0	0	0	1	1	1	0	1	0	0	0	0	1	0	1	1	0	0	1	1
190	other	68	student (university)	true	true	false	false	1	0	0	1	0	1	0	1	1	1	1	0	0	0	0	1	0	0	0	0	1	0	1	1	1	0	1	1	1	1	1	1	0	0	1	0	1	0	1	1	0	0	1	0	0	0	1	0	0	1	0	0	1	0	1	0	1	0	1	1	0	1	0	1	1	0	1	0	1	1	0	0	0	1	0	0	1	1	0	0	0	0	1	0	1	1	0	1	1	1	1	0	0	0	1	0	0	1	0	0
191	female	65	unemployed/seeking employment	false	false	true	false	1	1	1	0	1	1	1	0	0	0	0	1	1	0	0	0	1	0	1	1	0	0	1	1	0	1	1	1	0	1	1	1	1	1	0	1	0	0	0	1	0	1	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	1	1	1	0	0	1	0	0	1	1	1	1	0	1	1	0	1	0	1	0	1	1	0	0	0	1	1	0	0	0	0	0	1	0	1	1	0
192	male	66	employee	false	false	true	true	1	1	0	0	0	1	1	1	0	0	0	0	1	0	1	1	1	0	0	0	0	1	1	1	1	0	0	0	1	1	1	1	0	0	0	1	0	0	0	0	1	1	0	1	0	1	0	0	0	0	0	1	1	1	1	0	1	0	1	0	1	0	0	1	0	1	1	1	1	0	1	0	0	1	0	0	0	1	1	0	0	0	0	1	0	0	0	1	0	0	1	1	1	0	1	0	0	0	1	0
193	female	30	employee	false	true	false	false	0	0	1	0	0	1	1	1	0	1	1	0	1	0	1	0	0	1	1	1	0	1	1	0	1	1	0	1	0	0	1	0	1	1	1	0	0	0	1	1	1	1	1	1	1	0	1	1	1	0	0	1	1	0	1	0	0	0	1	0	0	1	1	0	0	1	1	0	1	1	0	1	0	0	0	1	1	1	1	0	1	1	1	1	0	0	1	0	0	0	0	0	0	0	1	1	1	1	1	0
194	other	60	employee	true	true	false	true	1	0	0	0	1	0	0	1	0	0	0	1	1	0	1	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	1	1	1	0	1	1	0	1	1	1	0	1	1	0	1	1	1	1	0	0	0	0	1	1	1	0	0	0	0	0	1	0	0	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	0	1	0	1	1	1	1	1	1	0	1	1	0	0	1	1	0	1
195	female	14	employee	false	true	true	true	0	1	1	1	0	0	0	0	0	1	0	1	0	1	0	1	0	0	1	1	0	1	0	0	1	0	0	1	0	0	0	0	0	1	0	0	1	1	1	0	0	1	0	1	1	1	0	1	1	0	0	0	1	1	0	1	0	0	0	1	1	0	1	0	0	1	1	0	0	0	0	0	0	1	0	1	1	0	0	1	0	1	1	0	1	0	0	1	1	0	0	1	1	1	0	1	0	0	1	0
196	other	96	employee	false	false	false	true	1	0	0	0	0	1	0	0	1	0	0	0	1	0	0	1	0	0	0	0	1	1	0	0	1	1	1	1	1	0	0	0	0	0	1	1	1	1	0	0	0	1	1	1	1	1	1	0	0	0	1	0	0	0	0	0	1	1	1	0	0	0	0	1	0	0	1	1	1	1	1	0	0	0	1	0	1	0	1	0	0	0	1	1	0	0	0	0	0	0	0	1	1	0	1	1	1	0	1	0
197	female	51	employee	true	false	false	true	0	0	0	0	0	0	0	0	1	0	1	0	1	1	0	0	1	1	0	1	1	0	0	0	1	1	1	0	1	0	1	0	1	1	0	1	0	0	0	1	1	1	1	0	1	1	1	1	1	1	0	0	0	1	1	0	0	0	1	0	0	0	0	1	1	1	1	1	1	0	1	0	1	0	0	1	1	1	1	1	0	0	0	1	0	1	1	0	0	1	0	1	0	0	1	1	0	1	1	1
198	male	92	employee	true	true	false	false	1	1	1	0	0	1	1	0	1	1	0	1	0	1	1	1	0	1	0	1	1	1	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	1	0	1	1	0	0	1	0	0	1	0	0	1	1	0	0	0	1	0	1	1	0	1	1	1	1	0	0	1	1	1	0	0	1	0	0	1	0	1	0	0	1	0	1	0	0	1	0	1	1	0	1	1	0	0	1	0	1	0
199	male	17	employee	true	true	false	false	0	1	0	0	0	1	0	0	0	1	0	0	1	0	0	1	1	1	0	0	1	1	1	0	1	0	1	0	1	0	0	0	0	1	0	1	1	1	1	0	0	0	1	1	1	0	0	0	1	1	0	1	0	1	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	1	1	1	1	0	0	1	0	1	0	1	0	0	1	1	0	1	1	1	0	1	0	1	0	1
200	other	36	other	false	true	false	true	0	0	0	1	0	1	0	1	1	0	1	0	1	1	0	0	1	0	0	1	1	0	1	1	0	0	1	1	1	0	1	1	0	0	0	0	1	0	0	0	0	1	1	0	1	0	1	1	1	0	0	1	0	0	0	0	1	0	0	0	1	1	0	0	1	1	0	0	0	1	1	0	0	1	1	0	1	1	0	0	1	1	0	1	1	0	0	1	0	1	1	1	0	0	1	0	0	0	1	0
201	male	53	student (highschool)	false	true	true	true	0	1	1	0	1	0	1	0	0	0	1	1	0	1	1	1	0	1	0	1	1	1	0	0	0	1	0	1	0	0	1	1	1	0	1	0	0	0	0	1	1	0	1	0	0	1	1	1	0	0	1	0	1	1	0	1	1	1	0	1	1	0	0	0	1	0	1	1	1	0	0	0	1	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	1	0	1	0	0	1	0	1	0	0	1	0
202	male	10	student (university)	false	true	true	true	1	0	0	0	1	0	1	1	1	1	0	1	0	1	1	1	0	0	1	1	0	0	0	0	1	1	0	0	0	1	1	1	1	1	1	1	0	0	0	1	0	0	1	1	1	0	1	0	0	0	1	1	0	0	1	1	1	1	1	1	0	0	0	1	1	0	0	0	1	0	1	1	0	1	0	0	0	0	0	1	0	1	0	1	0	1	0	0	0	1	1	1	0	0	0	1	1	1	1	0
203	other	50	self-employed	true	false	true	true	1	0	0	1	0	0	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	1	0	1	1	1	1	0	0	1	1	0	1	0	0	1	1	1	0	1	1	0	0	0	0	0	1	1	0	0	1	1	0	0	0	0	0	1	1	1	1	1	0	1	1	1	0	1	0	0	1	1	1	1	0	0	1	0	0	1	0	1	0	1	0	1	0	0	1	1	1	1	1	0	1	1
204	other	48	student (highschool)	false	true	false	false	1	0	0	1	0	0	1	0	1	1	0	0	1	1	0	0	0	0	0	1	1	1	0	1	0	1	1	0	1	0	0	1	1	1	0	0	1	1	1	0	0	1	1	1	0	1	0	1	1	0	0	0	1	1	0	1	1	1	0	0	0	1	0	0	0	1	1	0	0	1	1	1	0	1	1	1	1	1	0	1	0	0	1	1	0	1	1	0	1	0	0	0	1	0	0	1	1	0	1	0
205	male	35	student (highschool)	false	true	true	false	0	0	1	0	0	0	1	1	1	0	0	0	0	1	0	1	1	1	1	1	0	0	0	1	1	1	0	0	1	1	0	1	0	0	0	0	0	0	1	1	0	0	1	0	1	0	1	0	0	0	0	0	1	1	0	1	1	1	0	1	1	1	0	1	1	0	1	1	1	0	0	1	0	0	1	0	1	0	1	1	1	0	0	0	1	0	1	1	1	0	0	1	0	1	0	0	1	1	0	0
206	other	9	other	false	false	true	false	0	0	1	0	0	0	0	1	0	1	0	1	0	0	0	0	1	1	0	1	0	1	1	0	1	1	1	1	0	0	0	0	1	1	0	1	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	1	1	0	0	1	0	0	0	1	0	1	0	1	0	1	0	1	0	0	0	0	1	0	1	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	1	0	1	1
207	female	1	other	false	false	false	false	0	1	1	1	0	0	1	0	0	1	1	1	0	0	0	1	0	0	0	1	1	0	0	1	1	1	1	1	0	0	1	1	1	0	1	1	1	1	1	1	0	0	1	0	0	0	1	0	0	0	0	0	1	0	1	0	1	1	1	1	0	1	0	0	1	0	1	0	1	1	1	0	0	1	0	0	1	0	1	0	0	0	0	0	1	0	0	1	0	1	0	1	0	1	0	0	1	0	0	1
208	other	51	other	false	false	false	true	1	1	0	1	0	0	0	0	1	1	1	1	0	0	0	0	1	0	1	1	0	1	1	1	1	0	1	0	0	0	0	1	1	0	1	1	0	1	0	1	0	1	1	0	0	0	0	0	1	0	1	1	1	0	1	0	1	0	0	0	0	1	0	0	1	0	1	1	0	1	1	1	0	1	1	1	1	1	0	0	0	0	0	0	1	1	1	1	1	1	1	0	1	1	0	0	1	0	1	0
209	female	92	unemployed/seeking employment	false	true	false	false	0	0	1	1	0	0	0	1	0	1	1	0	0	0	0	0	1	1	0	0	1	0	1	0	0	1	0	1	1	1	0	1	0	0	0	1	1	0	1	1	1	1	0	1	0	1	1	1	1	0	0	1	0	0	0	0	1	1	1	0	1	1	1	0	1	0	0	0	1	1	1	1	1	1	1	1	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	1	0	1	1	1	0	0	1	1
210	female	77	self-employed	false	false	true	true	1	0	0	0	1	0	1	1	1	0	0	0	0	1	0	1	1	0	1	1	1	0	0	1	1	1	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	1	1	1	1	0	0	0	1	1	1	0	0	1	0	1	1	0	0	1	0	0	1	1	0	0	0	0	0	1	1	0	1	1	0	1	0	0	0	0	1	1	1	0	0	0	0	0	1	0	0	0	0
211	female	59	employee	true	false	false	true	1	0	0	1	1	1	0	0	1	1	1	0	1	0	1	1	0	1	1	1	0	0	1	0	0	0	0	0	1	0	1	0	1	0	1	0	1	1	1	1	0	0	0	0	0	1	0	1	0	0	1	0	0	1	0	0	1	1	0	0	0	0	1	0	0	1	0	0	0	1	1	1	1	1	0	1	0	1	1	1	1	0	1	0	1	1	0	1	1	1	0	1	1	0	0	0	1	0	0	1
212	male	65	unemployed/seeking employment	true	false	false	true	1	0	1	0	1	1	0	1	1	1	0	0	0	1	1	1	1	1	1	1	0	1	0	0	0	0	1	1	1	1	1	0	0	1	1	0	0	0	1	0	1	1	1	0	0	1	0	0	1	1	1	0	0	1	0	1	0	0	0	0	0	1	1	0	0	0	1	0	1	1	1	1	1	0	1	1	1	1	1	0	1	0	0	0	1	0	0	1	1	1	0	0	1	0	1	0	1	0	0	1
